Case_Study,Solver,Method,Num_Rep_Periods,Seed,Time_To_Build_Model,Objective_Function_Value,Num_Variables,Num_Constraints,Num_Constraints_Excluding_Bounds,Solve_Time
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,37548,3.9942437,355000000,129036,282254,177408,6.506000042
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,25980,3.2465443,355000000,129036,282254,177408,6.10800004
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,57408,4.3417452,355000000,129036,282254,177408,6.157999992
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,41831,3.6073643,355000000,129036,282254,177408,6.009000063
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,29040,3.5710945,355000000,129036,282254,177408,6.355000019
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,71372,3.5475052,355000000,129036,282254,177408,6.18599987
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,52533,3.8141655,355000000,129036,282254,177408,5.861999989
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,34244,3.561046,355000000,129036,282254,177408,6.904999971
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,45224,3.6404927,355000000,129036,282254,177408,6.707000017
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,31659,3.6283131,355000000,129036,282254,177408,6.036999941
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,37548,7.4265006,610000000,280332,613214,385440,22.22200012
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,25980,7.6623746,610000000,280332,613214,385440,16.92700005
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,57408,7.3587743,610000000,280332,613214,385440,18.30900002
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,41831,7.3683425,610000000,280332,613214,385440,21.25999999
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,29040,8.3673668,610000000,280332,613214,385440,22.66899991
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,71372,7.9693846,610000000,280332,613214,385440,23.36199999
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,52533,7.9034583,610000000,280332,613214,385440,103.5
